"Name","Symbol","Last","Open","High","Low","Chg.","Chg. %","Vol.","Time"
"AXIS Bank Ltd","AXBK.NS","661.00","635.60","664.85","630.00","+25.40","+4.00%","12,736,557","13/04"
"Bandhan Bank Ltd","BANH.NS","331.90","334.80","341.00","318.60","+4.35","+1.33%","12,107,046","13/04"
"AU Small Finance Bank Ltd","AUFI.NS","1,080.80","1,076.50","1,105.90","1,034.85","+4.30","+0.40%","2,453,473","13/04"
"Federal Bank Ltd.","FED.NS","77.00","71.50","77.50","71.05","+5.80","+8.15%","39,856,132","13/04"
"HDFC Bank Ltd","HDBK.NS","1,400.35","1,368.00","1,406.45","1,361.00","+33.30","+2.44%","9,297,467","13/04"
"ICICI Bank Ltd","ICBK.NS","560.60","541.00","563.80","537.85","+22.05","+4.09%","25,441,173","13/04"
"IDFC First Bank Ltd","IDFB.NS","54.05","51.15","54.40","50.90","+3.50","+6.92%","62,977,808","13/04"
"IndusInd Bank Ltd.","INBK.NS","877.40","850.00","881.00","844.50","+33.00","+3.91%","6,778,125","13/04"
"Kotak Mahindra Bank Ltd.","KTKM.NS","1,775.85","1,745.80","1,786.05","1,723.45","+33.35","+1.91%","3,118,474","13/04"
"Punjab National Bank","PNBK.NS","35.10","34.00","35.30","33.65","+1.15","+3.39%","147,737,064","13/04"
"RBL Bank Ltd","RATB.NS","193.65","191.40","195.30","186.65","+5.00","+2.65%","22,142,130","13/04"
"State Bank Of India","SBI.NS","341.00","332.00","342.25","330.50","+12.15","+3.69%","49,758,899","13/04"
"Nifty Bank",".NSEBANK","31,771.60","30,901.80","31,885.45","30,722.85","+979.60","+3.18%","441,405","13/04"
"Nifty 50",".NSEI","14,504.80","14,364.90","14,528.90","14,274.90","+194.00","+1.36%","605,052","13/04"
"India VIX",".NIFVIX","20.4600","22.9950","22.9950","20.2975","-2.5350","-11.02%","-","13/04"
"Nifty Financial Services",".NIFTYFIN","15,209.15","14,753.45","15,234.10","14,693.00","+498.15","+3.39%","156,566","13/04"
"NASDAQ Bank",".IXBK","4,528.5","4,593.3","4,595.2","4,519.4","-91.2","-1.97%","-","02:45:00"
"Dow Jones Banks",".DJUSBK","542.72","548.27","548.34","539.50","-9.10","-1.65%","189,539,240","04:02:20"
"Reliance Industries Ltd","RELI.NS","1,931.80","1,924.00","1,940.60","1,917.85","+20.65","+1.08%","8,955,777","13/04"
"Infosys Ltd","INFY.NS","1,402.85","1,433.00","1,435.25","1,375.00","-22.90","-1.61%","14,853,819","13/04"
"Housing Development Finance Corporation Ltd","HDFC.NS","2,512.95","2,422.40","2,523.10","2,412.25","+93.10","+3.85%","3,831,074","13/04"
"Tata Consultancy Services Ltd.","TCS.NS","3,104.05","3,214.00","3,214.00","3,073.05","-142.50","-4.39%","8,653,610","13/04"
"Hindustan Unilever Ltd.","HLL.NS","2,454.40","2,470.00","2,505.90","2,448.80","-7.60","-0.31%","1,811,715","13/04"
"ITC Ltd","ITC.NS","208.70","207.00","209.70","206.00","+3.40","+1.66%","20,233,094","13/04"
"Larsen & Toubro Ltd","LART.NS","1,373.70","1,347.25","1,382.00","1,347.25","+28.55","+2.12%","2,063,349","13/04"
"Bajaj Finance Ltd","BJFN.NS","4,728.75","4,535.10","4,774.90","4,514.05","+217.75","+4.83%","3,174,227","13/04"
"Asian Paints Ltd.","ASPN.NS","2,574.50","2,600.00","2,626.00","2,564.30","-27.70","-1.06%","1,200,047","13/04"
"Bharti Airtel Ltd.","BRTI.NS","536.15","526.40","540.00","523.10","+13.70","+2.62%","6,530,996","13/04"
"HCL Technologies Ltd","HCLT.NS","983.40","1,012.50","1,020.80","972.20","-26.00","-2.58%","7,773,033","13/04"
"Maruti Suzuki India Ltd.","MRTI.NS","6,815.80","6,520.00","6,845.40","6,468.80","+295.20","+4.53%","995,547","13/04"
"Mahindra & Mahindra Ltd.","MAHM.NS","811.25","754.00","817.00","750.80","+59.75","+7.95%","12,495,729","13/04"
"Nestle India Ltd","NEST.NS","17,210.00","17,587.00","17,599.95","17,040.10","-291.70","-1.67%","110,512","13/04"
"Titan Company Ltd","TITN.NS","1,540.00","1,528.60","1,553.30","1,516.65","+29.55","+1.96%","1,880,572","13/04"
"Sun Pharmaceutical Industries Ltd.","SUN.NS","628.45","624.00","635.55","616.10","+9.10","+1.47%","7,395,693","13/04"
"Dr. Reddy’s Laboratories Ltd","REDY.NS","4,777.30","5,144.70","5,144.70","4,751.10","-219.65","-4.40%","3,936,555","13/04"
"UltraTech Cement Ltd","ULTC.NS","6,603.00","6,550.00","6,656.45","6,504.60","+93.60","+1.44%","550,996","13/04"
"Tech Mahindra Ltd","TEML.NS","1,001.85","1,045.00","1,050.25","983.00","-38.00","-3.65%","6,448,156","13/04"
"Wipro Ltd","WIPR.NS","418.95","432.00","437.55","412.60","-13.65","-3.16%","20,418,793","13/04"
"Bajaj Finserv Ltd","BJFS.NS","9,806.70","9,200.00","9,847.50","9,190.05","+643.55","+7.02%","830,904","13/04"
"HDFC Life Insurance Company Ltd","HDFL.NS","706.10","689.15","710.70","685.00","+18.80","+2.74%","4,171,105","13/04"
"Divi's Laboratories Ltd.","DIVI.NS","3,716.00","3,847.00","3,850.00","3,702.00","-63.65","-1.68%","606,668","13/04"
"Power Grid Corporation of India Ltd","PGRD.NS","209.00","205.15","209.40","202.45","+7.85","+3.90%","11,154,675","13/04"
"NTPC Ltd","NTPC.NS","100.85","99.60","101.15","99.25","+1.80","+1.82%","19,186,529","13/04"
"Tata Steel Ltd","TISC.NS","879.00","862.00","881.60","849.00","+27.45","+3.22%","20,424,717","13/04"
"Bajaj Auto Ltd","BAJA.NS","3,602.45","3,569.00","3,623.70","3,515.20","+61.45","+1.74%","412,076","13/04"
"Britannia Industries Ltd","BRIT.NS","3,746.00","3,814.10","3,847.00","3,729.05","-66.75","-1.75%","411,576","13/04"
"Cipla Ltd.","CIPL.NS","885.20","921.95","932.60","878.30","-17.20","-1.91%","11,666,487","13/04"
"Hero MotoCorp Ltd","HROM.NS","2,868.00","2,799.00","2,879.00","2,773.25","+81.90","+2.94%","714,707","13/04"
"JSW Steel Ltd","JSTL.NS","630.35","607.00","632.80","604.00","+26.20","+4.34%","26,085,923","13/04"
"Grasim Industries Ltd","GRAS.NS","1,389.55","1,372.80","1,406.70","1,370.60","+12.95","+0.94%","1,423,028","13/04"
"Adani Port and Special Economic Zone Ltd","APSE.NS","731.05","750.00","755.75","701.35","-13.60","-1.83%","52,808,866","13/04"
"Eicher Motors Ltd.","EICH.NS","2,493.85","2,427.20","2,504.95","2,420.20","+66.65","+2.75%","720,788","13/04"
"Hindalco Industries Ltd.","HALC.NS","348.60","336.20","350.30","336.20","+12.40","+3.69%","12,940,476","13/04"
"SBI Life Insurance Company Ltd","SBIL.NS","897.80","881.45","900.75","874.75","+25.35","+2.91%","1,174,385","13/04"
"Oil And Natural Gas Corporation Ltd","ONGC.NS","102.05","98.05","102.50","98.05","+4.00","+4.08%","25,502,445","13/04"
"Tata Motors Ltd","TAMO.NS","302.85","287.25","304.55","280.55","+16.30","+5.69%","116,860,402","13/04"
"Shree Cements Ltd.","SHCM.NS","30,420.95","30,200.00","30,699.90","30,110.00","+539.90","+1.81%","91,665","13/04"
"Bharat Petroleum Corp. Ltd.","BPCL.NS","409.40","405.00","412.50","402.20","+5.45","+1.35%","4,030,875","13/04"
"Coal India Ltd","COAL.NS","127.95","124.80","128.45","124.80","+3.25","+2.61%","7,802,961","13/04"
"UPL Ltd","UPLL.NS","604.60","594.00","618.50","589.00","+15.05","+2.55%","10,045,776","13/04"
"Tata Consumer Products Ltd","TACN.NS","663.80","657.00","677.90","656.00","+8.20","+1.25%","3,065,012","13/04"
"Indian Oil Corporation Ltd","IOC.NS","88.80","87.20","89.25","87.10","+1.80","+2.07%","15,971,690","13/04"
